#K-Path      Energy-Level
# NKPTS & NBANDS: 600  24
# Band-Index    1
   0.00000    -12.182401
   0.00821    -12.182183
   0.01642    -12.181527
   0.02463    -12.180431
   0.03284    -12.178896
   0.04105    -12.176921
   0.04926    -12.174509
   0.05746    -12.171656
   0.06567    -12.168365
   0.07388    -12.164634
   0.08209    -12.160465
   0.09030    -12.155858
   0.09851    -12.150813
   0.10672    -12.145330
   0.11493    -12.139410
   0.12314    -12.133053
   0.13135    -12.126260
   0.13956    -12.119030
   0.14777    -12.111365
   0.15598    -12.103265
   0.16418    -12.094730
   0.17239    -12.085761
   0.18060    -12.076358
   0.18881    -12.066523
   0.19702    -12.056255
   0.20523    -12.045560
   0.21344    -12.034435
   0.22165    -12.022880
   0.22986    -12.010895
   0.23807    -11.998482
   0.24628    -11.985642
   0.25449    -11.972375
   0.26270    -11.958682
   0.27090    -11.944564
   0.27911    -11.930022
   0.28732    -11.915058
   0.29553    -11.899671
   0.30374    -11.883864
   0.31195    -11.867637
   0.32016    -11.850992
   0.32837    -11.833930
   0.33658    -11.816453
   0.34479    -11.798561
   0.35300    -11.780256
   0.36121    -11.761539
   0.36942    -11.742407
   0.37763    -11.722872
   0.38583    -11.702931
   0.39404    -11.682585
   0.40225    -11.661839
   0.41046    -11.640693
   0.41867    -11.619147
   0.42688    -11.597204
   0.43509    -11.574866
   0.44330    -11.552133
   0.45151    -11.528991
   0.45972    -11.505477
   0.46793    -11.481586
   0.47614    -11.457302
   0.48435    -11.432636
   0.49255    -11.407591
   0.50076    -11.382168
   0.50897    -11.356372
   0.51718    -11.330204
   0.52539    -11.303667
   0.53360    -11.276766
   0.54181    -11.249503
   0.55002    -11.221880
   0.55823    -11.193903
   0.56644    -11.165573
   0.57465    -11.136896
   0.58286    -11.107873
   0.59107    -11.078496
   0.59927    -11.048750
   0.60748    -11.018723
   0.61569    -10.988368
   0.62390    -10.957690
   0.63211    -10.926692
   0.64032    -10.895381
   0.64853    -10.863760
   0.65674    -10.831835
   0.66495    -10.799613
   0.67316    -10.767097
   0.68137    -10.734294
   0.68958    -10.701210
   0.69779    -10.667851
   0.70599    -10.634224
   0.71420    -10.600335
   0.72241    -10.566193
   0.73062    -10.531761
   0.73883    -10.497131
   0.74704    -10.462268
   0.75525    -10.427181
   0.76346    -10.391879
   0.77167    -10.356370
   0.77988    -10.320664
   0.78809    -10.284769
   0.79630    -10.248698
   0.80451    -10.212461
   0.81271    -10.176068
   0.81271    -10.176068
   0.81627    -10.185166
   0.81982    -10.194225
   0.82338    -10.203243
   0.82693    -10.212218
   0.83049    -10.221153
   0.83404    -10.230045
   0.83760    -10.238892
   0.84115    -10.247695
   0.84471    -10.256451
   0.84826    -10.265160
   0.85182    -10.273822
   0.85537    -10.282436
   0.85893    -10.291000
   0.86248    -10.299514
   0.86604    -10.307976
   0.86959    -10.316387
   0.87314    -10.324745
   0.87670    -10.333050
   0.88025    -10.341301
   0.88381    -10.349497
   0.88736    -10.357638
   0.89092    -10.365742
   0.89447    -10.373770
   0.89803    -10.381741
   0.90158    -10.389654
   0.90514    -10.397509
   0.90869    -10.405305
   0.91225    -10.413042
   0.91580    -10.420718
   0.91936    -10.428334
   0.92291    -10.435889
   0.92647    -10.443382
   0.93002    -10.450813
   0.93357    -10.458181
   0.93713    -10.465487
   0.94068    -10.472729
   0.94424    -10.479907
   0.94779    -10.487022
   0.95135    -10.494071
   0.95490    -10.501055
   0.95846    -10.507974
   0.96201    -10.514827
   0.96557    -10.521612
   0.96912    -10.528332
   0.97268    -10.534984
   0.97623    -10.541570
   0.97979    -10.548087
   0.98334    -10.554537
   0.98690    -10.560918
   0.99045    -10.567230
   0.99400    -10.573474
   0.99756    -10.579648
   1.00111    -10.585752
   1.00467    -10.591787
   1.00822    -10.597751
   1.01178    -10.603645
   1.01533    -10.609468
   1.01889    -10.615220
   1.02244    -10.620900
   1.02600    -10.626517
   1.02955    -10.632054
   1.03311    -10.637519
   1.03666    -10.642912
   1.04022    -10.648227
   1.04377    -10.653474
   1.04733    -10.658649
   1.05088    -10.663750
   1.05443    -10.668778
   1.05799    -10.673732
   1.06154    -10.678612
   1.06510    -10.683419
   1.06865    -10.688151
   1.07221    -10.692808
